City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,mersing,2.4312,103.8405,301.1,89,20,1.54,MY,1682299201
285,turpan,42.9333,89.1667,289.77,18,0,0.91,CN,1682299201
286,singkil,-7.9855,111.4161,300.44,82,93,1.37,ID,1682299201
287,nandu,22.8525,110.8233,298.54,84,89,1.83,CN,1682299202
288,carauari,-4.8828,-66.8958,296.39,96,94,0.95,BR,1682299202
289,kourou,5.1552,-52.6478,298.18,90,100,1.04,GF,1682299203
290,kill devil hills,36.0307,-75.676,288.7,71,0,2.57,US,1682299203
291,moab,38.5733,-109.5498,290.18,22,26,1.45,US,1682299203
292,hami,42.8,93.45,285.72,29,96,3.55,CN,1682299203
293,tobol'sk,58.2,68.2667,275.53,80,76,5.98,RU,1682299204
294,rongelap,11.1635,166.8941,300.25,83,32,10.27,MH,1682299204
295,alice springs,-23.7,133.8833,296.9,33,3,5.66,AU,1682299204
296,roma,43.2128,-75.4557,279.79,81,100,3.6,US,1682298991
297,badr hunayn,23.7829,38.7905,301.55,65,100,1.53,SA,1682299204
298,kerikeri,-35.2268,173.9474,292.54,61,0,2.68,NZ,1682299205
299,lihue,21.9789,-159.3672,299.73,74,100,5.66,US,1682298968
300,san andres,12.5847,-81.7006,300.16,69,75,3.09,CO,1682299205
301,rio de janeiro,-22.9028,-43.2075,296.13,73,0,2.57,BR,1682299137
302,karagandy,49.8019,73.1021,281.12,76,5,4.56,KZ,1682299206
303,la ronge,55.1001,-105.2842,281.29,23,75,5.14,CA,1682299206
304,ambon,-3.6954,128.1814,304.23,87,40,1.54,ID,1682299206
305,wenchang,30.904,118.4887,283.89,93,100,4.54,CN,1682299206
306,boa vista,2.8197,-60.6733,297.14,94,20,1.54,BR,1682299207
307,shimoda,34.6667,138.95,287.35,72,100,8.11,JP,1682299207
308,champerico,14.3,-91.9167,302.1,67,3,4.3,GT,1682299207
309,conselheiro pena,-19.1722,-41.4722,295.13,78,99,2.37,BR,1682299207
310,tonj,7.2737,28.6822,297.0,70,100,2.89,SS,1682299207
311,nouadhibou,20.931,-17.0347,293.14,77,3,8.23,MR,1682299208
312,neryungri,56.6709,124.6491,269.79,74,100,4.49,RU,1682299208
313,loralai,30.3705,68.598,289.71,33,70,1.57,PK,1682299208
314,laguna,38.421,-121.4238,301.73,53,0,6.17,US,1682299042
315,launceston,-41.45,147.1667,291.95,71,40,7.72,AU,1682299209
316,saint joseph,39.7686,-94.8466,284.01,37,0,1.54,US,1682298938
317,mermoz boabab,14.7065,-17.4758,293.46,88,5,7.15,SN,1682299209
318,nyala,12.05,24.8833,299.18,58,95,6.28,SD,1682299209
319,shiqian,27.5225,108.2281,280.93,91,100,1.12,CN,1682299210
320,benguela,-12.5763,13.4055,298.89,85,97,0.96,AO,1682299210
321,bahir dar,11.5936,37.3908,293.81,47,42,1.78,ET,1682299210
